0 49
42 43 18
0 49 4
33 49 17
30 31 14
2 19 8
26 32 7
12 21 11
1 38 3
39 41 15
34 49 8
44 47 14
4 29 15
7 21 2
8 22 10
17 28 13
3 20 8
0 31 1
14 30 1
39 41 19
24 43 13
16 24 3
38 41 14
16 36 5
33 34 17
30 45 12
13 37 16
4 14 7
21 32 13
24 37 17
40 43 10
12 20 16
26 48 14
1 24 17
16 23 17
33 44 2
44 46 8
32 42 7
8 32 20
32 39 9
21 42 20
39 47 5
29 30 2
31 43 4
43 46 19
47 48 20
23 44 19
29 42 2
25 28 2
25 31 6
23 33 6
46 47 15
32 43 6
0 10 12
29 36 10
26 34 8
13 30 17
13 41 12
16 30 19
11 48 5
47 49 11
26 48 13
38 47 8
5 7 14
18 41 9
34 41 5
12 29 1
46 48 9
18 49 4
46 48 19
23 27 1
15 39 6
10 13 1
33 39 5
18 33 1
38 49 17
20 34 18
48 49 1
42 48 2
30 49 8
2 30 20
24 42 6
24 38 12
39 46 3
4 15 17
21 25 9
1 44 13
5 14 16
21 27 19
40 44 7
46 47 20
27 41 12
5 37 6
3 22 2
0 1 10
1 2 16
2 3 20
3 4 7
4 5 9
5 8 17
8 11 17
11 12 6
12 16 19
16 17 10
17 18 14
18 26 20
26 40 18
